node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
ELS1,1,14,0.6388938462046856,3,1,4.5,degree,0.6388938462046856,1.0,3.0,4.5
ELS3,2,13,-2.344484785598034e-16,4,3,1.6666666666666667,degree,0.3194469231023427,2.0,3.5,3.0833333333333335
ELS2,3,12,0.0,2,6,2.5,degree,0.21296461540156178,3.3333333333333335,3.0,2.8888888888888893
BAAIIS,4,11,0.0,1,8,1.0,degree,0.15972346155117134,4.5,2.5,2.416666666666667
DUR,5,10,0.0,0,9,1.0,degree,0.12777876924093706,5.4,2.0,2.1333333333333337
ELS-GREY1-TSN108-WSU-CHS,6,9,0.0,0,8,1.0,degree,0.10648230770078089,5.833333333333333,1.6666666666666667,1.9444444444444446
ELS-GREY1-TSN177-UNISAE,7,8,0.0,0,8,1.0,degree,0.0912705494578122,6.142857142857143,1.4285714285714286,1.8095238095238098
ELS-GREY1-TSN393-WSU-CAM,8,7,0.0,0,7,1.0,degree,0.07986173077558567,6.25,1.25,1.7083333333333335
PTD-TSN216-WSU-PTD-PE,9,6,0.0,0,6,1.0,degree,0.07098820513385393,6.222222222222222,1.1111111111111112,1.6296296296296298
UTE-TSN12-WSU-B-PE,10,5,0.0,0,5,1.0,degree,0.06388938462046853,6.1,1.0,1.5666666666666669
BLOEM,11,4,0.0,0,4,1.0,degree,0.058081258745880486,5.909090909090909,0.9090909090909091,1.5151515151515154
BLOEM2,12,3,0.0,0,3,1.0,degree,0.053241153850390445,5.666666666666667,0.8333333333333334,1.4722222222222223
BIY-TSN65-UFH-BHISHO-PE,13,2,0.0,0,2,1.0,degree,0.04914568047728349,5.384615384615385,0.7692307692307693,1.435897435897436
ELS1,1,14,0.6388938462046856,3,1,4.5,betweeness,0.6388938462046856,1.0,3.0,4.5
ELS3,2,13,-2.344484785598034e-16,4,3,1.6666666666666667,betweeness,0.3194469231023427,2.0,3.5,3.0833333333333335
ELS2,3,12,0.0,2,6,2.5,betweeness,0.21296461540156178,3.3333333333333335,3.0,2.8888888888888893
BAAIIS,4,11,0.0,1,8,1.0,betweeness,0.15972346155117134,4.5,2.5,2.416666666666667
ELS-GREY1-TSN108-WSU-CHS,5,10,0.0,0,9,1.0,betweeness,0.12777876924093706,5.4,2.0,2.1333333333333337
ELS-GREY1-TSN177-UNISAE,6,9,0.0,0,9,1.0,betweeness,0.10648230770078089,6.0,1.6666666666666667,1.9444444444444446
PTD-TSN216-WSU-PTD-PE,7,8,0.0,0,8,1.0,betweeness,0.0912705494578122,6.285714285714286,1.4285714285714286,1.8095238095238098
UTE-TSN12-WSU-B-PE,8,7,0.0,0,7,1.0,betweeness,0.07986173077558567,6.375,1.25,1.7083333333333335
BLOEM,9,6,0.0,0,6,1.0,betweeness,0.07098820513385393,6.333333333333333,1.1111111111111112,1.6296296296296298
BLOEM2,10,5,0.0,0,5,1.0,betweeness,0.06388938462046853,6.2,1.0,1.5666666666666669
BIY-TSN65-UFH-BHISHO-PE,11,4,0.0,0,4,1.0,betweeness,0.058081258745880486,6.0,0.9090909090909091,1.5151515151515154
DUR,12,3,0.0,0,3,1.0,betweeness,0.053241153850390445,5.75,0.8333333333333334,1.4722222222222223
ELS-GREY1-TSN393-WSU-CAM,13,2,0.0,0,2,1.0,betweeness,0.04914568047728349,5.461538461538462,0.7692307692307693,1.435897435897436
ELS1,1,14,0.6388938462046856,3,1,4.5,closeness,0.6388938462046856,1.0,3.0,4.5
ELS3,2,13,-2.344484785598034e-16,4,3,1.6666666666666667,closeness,0.3194469231023427,2.0,3.5,3.0833333333333335
ELS2,3,12,0.0,2,6,2.5,closeness,0.21296461540156178,3.3333333333333335,3.0,2.8888888888888893
DUR,4,11,0.0,1,8,1.0,closeness,0.15972346155117134,4.5,2.5,2.416666666666667
ELS-GREY1-TSN393-WSU-CAM,5,10,0.0,1,7,1.0,closeness,0.12777876924093706,5.0,2.2,2.1333333333333337
PTD-TSN216-WSU-PTD-PE,6,9,0.0,1,6,1.0,closeness,0.10648230770078089,5.166666666666667,2.0,1.9444444444444446
UTE-TSN12-WSU-B-PE,7,8,0.0,0,6,1.0,closeness,0.0912705494578122,5.285714285714286,1.7142857142857142,1.8095238095238098
BAAIIS,8,7,0.0,0,6,1.0,closeness,0.07986173077558567,5.375,1.5,1.7083333333333335
BLOEM,9,6,0.0,0,5,1.0,closeness,0.07098820513385393,5.333333333333333,1.3333333333333333,1.6296296296296298
BIY-TSN65-UFH-BHISHO-PE,10,5,0.0,0,4,1.0,closeness,0.06388938462046853,5.2,1.2,1.5666666666666669
ELS-GREY1-TSN108-WSU-CHS,11,4,0.0,0,3,1.0,closeness,0.058081258745880486,5.0,1.0909090909090908,1.5151515151515154
ELS-GREY1-TSN177-UNISAE,12,3,0.0,0,3,1.0,closeness,0.053241153850390445,4.833333333333333,1.0,1.4722222222222223
BLOEM2,13,2,0.0,0,2,1.0,closeness,0.04914568047728349,4.615384615384615,0.9230769230769231,1.435897435897436
